iter	RMSE
475	0.2388674025
476	0.2387765465
477	0.2386844467
478	0.2386029423
479	0.2384674916
480	0.2382982634
481	0.2382180239
482	0.2381403013
483	0.2380815026
484	0.2379698853
485	0.2379316925
486	0.2378690795
487	0.2378156177
488	0.2377202284
489	0.2376564249
490	0.2375387758
491	0.2374330406
492	0.2373820664
493	0.2372692703
494	0.2371934053
495	0.2371138391
496	0.2369464673
497	0.2368830575
498	0.2367431016
499	0.2365455199
500	0.236384402
501	0.2362457473
502	0.2361996726
503	0.2360924034
504	0.2360155391
505	0.2359024868
506	0.2358279479
507	0.235732972
508	0.2356501153
509	0.2356140879
510	0.2355048584
511	0.2353917344
512	0.2352566602
513	0.2351770835
514	0.2350766535
515	0.2349889173
516	0.2349119931
517	0.2347052595
518	0.2346106446
519	0.2345496447
520	0.2344070992
521	0.2343639723
522	0.2342643766
523	0.2342224255
524	0.2341209296
525	0.2340481002
526	0.2339848072
527	0.2338219646
528	0.2337090625
529	0.2336352871
530	0.2335613747
531	0.2335019186
532	0.2333551875
533	0.2332613886
534	0.2332319792
535	0.233138377
536	0.233054122
537	0.2329219704
538	0.2327491326
539	0.2326330807
540	0.2325572108
541	0.2325134982
542	0.2324504835
543	0.2324053578
544	0.2322644011
545	0.2321151397
546	0.2320109651
547	0.2319318327
548	0.2318126699
549	0.2317538229
550	0.2316165305
551	0.231462052
552	0.2313548316
553	0.2312463666
554	0.2311961495
555	0.2310828405
556	0.230959696
557	0.230911418
558	0.2307583352
559	0.230685728
560	0.2305004365
561	0.2304344708
562	0.2303478601
563	0.2302348733
564	0.2300997638
565	0.2300440291
566	0.2299188107
567	0.2298225268
568	0.2296839443
569	0.229607039
570	0.2294623738
571	0.2294081669
572	0.2293388452
573	0.2292608081
574	0.2292095556
575	0.2291385545
576	0.2289599097
577	0.2288584694
578	0.2287883285
579	0.22870735
580	0.2286134267
581	0.2285227727
582	0.2284008715
583	0.2283601605
584	0.2283057054
585	0.2282309748
586	0.2281308801
587	0.2280430415
588	0.2279459206
589	0.2278364353
590	0.2277079607
591	0.2276007085
592	0.2275315667
593	0.2275189936
594	0.2274758178
595	0.2273999836
596	0.227340229
597	0.2272670526
598	0.2271408944
599	0.2270927988
600	0.2270617457
601	0.227033032
602	0.2268984202
603	0.2268576501
604	0.2267143854
605	0.2265918396
606	0.2265544901
607	0.2264849502
608	0.2263856508
609	0.2262866148
610	0.2262068535
611	0.2260684214
612	0.2260172459
613	0.2259175386
614	0.225879384
615	0.2257703488
616	0.2257006309
617	0.225656063
618	0.2255431696
619	0.2254847139
620	0.2254260965
621	0.2253345596
622	0.2252225283
623	0.2251712772
624	0.2251159265
625	0.22503479
626	0.2249039179
627	0.2248085653
628	0.2246958852
629	0.2246163211
630	0.2245147106
631	0.2244206209
632	0.2242900105
633	0.2242519195
634	0.2241571891
635	0.2240919062
636	0.2240332096
637	0.2239749983
638	0.2239144453
639	0.2237981457
640	0.2236869736
641	0.22363363
642	0.2236007943
643	0.223456521
644	0.2233932131
645	0.2233689646
646	0.2232334118
647	0.2231661384
648	0.2230424124
649	0.2229636832
650	0.2229025899
651	0.2228124527
652	0.2227290737
653	0.2226328482
654	0.222548124
655	0.2224428047
656	0.2223533059
657	0.2223188065
658	0.2222022147
659	0.2221342917
660	0.2219973746
661	0.2219706987
662	0.2218753083
663	0.2218136075
664	0.2217894936
665	0.2217388181
666	0.2216869274
667	0.2216507217
668	0.2215558498
669	0.221515516
670	0.2214815328
671	0.221374809
672	0.2213012303
673	0.2212196162
674	0.2211525951
675	0.221110665
676	0.2210366626
677	0.2209047341
678	0.2208719985
679	0.2207676992
680	0.2207190666
681	0.2206506125
682	0.2205894855
683	0.2205048302
684	0.2204071923
685	0.2203070577
686	0.2201821931
687	0.2200992066
688	0.2200480665
689	0.2199927415
690	0.2199597344
691	0.2198384347
692	0.2196932304
693	0.2196391881
694	0.219561481
695	0.2195244265
696	0.2194196319
697	0.2193542759
698	0.2192403142
699	0.2191798185
700	0.2191238779
701	0.2190777185
702	0.2190030803
703	0.2189051479
704	0.218824834
705	0.2187843925
706	0.218704147
707	0.2186387865
708	0.2185933994
709	0.2185121421
710	0.2184073894
711	0.2182612679
712	0.2182074495
713	0.2181208856
714	0.218091152
715	0.2180613051
716	0.2180334736
717	0.2179962185
718	0.2178991786
719	0.2178492884
720	0.2177496751
721	0.2176820343
722	0.2175875118
723	0.2175219955
724	0.2173986117
725	0.2173259153
726	0.2172786029
727	0.2172082483
728	0.2170908685
729	0.2170225402
730	0.2169052281
731	0.2168637415
732	0.216793167
733	0.2167221276
734	0.2166664741
735	0.2165539194
736	0.2164957651
737	0.2163714289
738	0.2162641727
739	0.2161788624
740	0.2161182211
741	0.2160184793
742	0.215959435
743	0.2158203232
744	0.2157497319
745	0.2157166479
746	0.2156804216
747	0.2156343273
748	0.2155346732
749	0.2154760286
750	0.2153803447
751	0.2153196841
752	0.2152382096
753	0.2151679098
754	0.2151314805
755	0.2150860539
756	0.2150245388
757	0.2149429467
758	0.2148262655
759	0.2147996911
760	0.2146865803
761	0.2146034652
762	0.2145503759
763	0.2144735439
764	0.2144721091
765	0.2144143289
766	0.21433177
767	0.2142241909
768	0.2141560801
769	0.2141006043
770	0.2140260299
771	0.2139762272
772	0.2139285617
773	0.213866827
774	0.2138090745
775	0.2137272733
776	0.2136719856
777	0.2136303253
778	0.2135798311
779	0.213516045
780	0.2134653718
781	0.2134088002
782	0.2133480601
783	0.2132680746
784	0.2131466798
785	0.2130796752
786	0.2129735318
787	0.2129275625
788	0.2128734679
789	0.2128041843
790	0.2127377829
791	0.2127064383
792	0.2126368394
793	0.2125871298
794	0.2124937202
795	0.2124361229
796	0.2123558789
797	0.2122635009
798	0.2122231904
799	0.2121450918
800	0.2120668666
801	0.2120063288
802	0.2119641985
803	0.2118638241
804	0.2117903111
805	0.2116926523
806	0.2116185359
807	0.2115813058
808	0.2115209138
809	0.2114203796
810	0.2113708082
811	0.2113360568
812	0.2112533015
813	0.2112199735
814	0.211208911
815	0.211159295
816	0.2111264051
817	0.210989212
818	0.2109307464
819	0.2108764783
820	0.2108342899
821	0.210741811
822	0.2106901631
823	0.2106837537
824	0.2105907993
825	0.2105071452
826	0.2104451837
827	0.2103523933
828	0.2102910069
829	0.2102589743
830	0.2101887055
831	0.2101319579
832	0.2100893486
833	0.2100531744
834	0.2099961569
835	0.209888941
836	0.2098106003
837	0.2097224037
838	0.2096669115
839	0.2095679304
840	0.2095207209
841	0.2094989602
842	0.2094036921
843	0.2093723794
844	0.209326219
845	0.2092160804
846	0.2091798456
847	0.2091500404
848	0.2090694892
849	0.2090130184
850	0.2089682986
851	0.2088812146
852	0.2088060461
853	0.2087626364
854	0.2087127928
855	0.2086545251
856	0.2086071053
857	0.208546679
858	0.2085109402
859	0.2084455853
860	0.2083651097
861	0.2083193172
862	0.2082858494
863	0.2082002338
864	0.2081655086
865	0.2080941444
866	0.2080493281
867	0.2079822591
868	0.2079365712
869	0.2079231575
870	0.2078390611
871	0.2077949831
872	0.2077455798
873	0.2077055644
874	0.2076693131
875	0.2075961858
876	0.2074926725
877	0.2074298975
878	0.2073698157
879	0.2072849393
880	0.2072457773
881	0.2071528355
882	0.2071155567
883	0.2070823912
884	0.2070510747
885	0.207017117
886	0.2069653511
887	0.2068694301
888	0.2067739484
889	0.2067469107
890	0.2067042064
891	0.2066526832
892	0.2065833425
893	0.2065163089
894	0.2064814202
895	0.2064259612
896	0.2063538991
897	0.2062738838
898	0.2062393582
899	0.206215662
